airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio
EDDB,840,757,755,763,arrivals,0.8988095238095238,0.9083333333333333
ESSA,820,791,787,791,departures,0.9597560975609756,0.9646341463414634
EDDL,758,746,744,750,departures,0.9815303430079155,0.9894459102902374
EDDL,751,669,662,666,arrivals,0.881491344873502,0.8868175765645806
LFMN,710,664,653,657,arrivals,0.9197183098591549,0.9253521126760563
LFMN,707,699,693,695,departures,0.9801980198019802,0.983026874115983
LSGG,680,676,676,688,departures,0.9941176470588236,1.011764705882353
LSGG,670,615,614,625,arrivals,0.9164179104477612,0.9328358208955224
LKPR,667,656,655,659,departures,0.9820089955022488,0.9880059970014993
EFHK,666,588,570,577,arrivals,0.8558558558558559,0.8663663663663663
EFHK,659,653,653,660,departures,0.9908952959028832,1.0015174506828528
LKPR,657,574,568,571,arrivals,0.8645357686453576,0.8691019786910198
LEAL,599,598,598,598,departures,0.998330550918197,0.998330550918197
LEAL,599,576,572,572,arrivals,0.9549248747913188,0.9549248747913188
EGPH,584,504,502,506,arrivals,0.8595890410958904,0.8664383561643836
LHBP,578,555,553,554,departures,0.9567474048442907,0.9584775086505191
EGPH,577,570,569,569,departures,0.9861351819757366,0.9861351819757366
LHBP,577,242,237,238,arrivals,0.41074523396880414,0.4124783362218371
EGGW,552,482,477,479,arrivals,0.8641304347826086,0.8677536231884058
EGGW,550,549,549,551,departures,0.9981818181818182,1.0018181818181817
EDDH,538,531,528,537,departures,0.9814126394052045,0.9981412639405205
EDDH,532,483,479,488,arrivals,0.900375939849624,0.9172932330827067
GCLP,521,91,0,0,arrivals,0.0,0.0
GCLP,520,24,0,0,departures,0.0,0.0
LLBG,516,383,382,409,arrivals,0.7403100775193798,0.7926356589147286
EDDK,515,501,501,502,departures,0.9728155339805825,0.974757281553398
LLBG,513,501,501,509,departures,0.9766081871345029,0.9922027290448343
LPPR,513,510,507,508,departures,0.9883040935672515,0.9902534113060428
LPPR,512,441,434,435,arrivals,0.84765625,0.849609375
EDDK,509,440,436,443,arrivals,0.8565815324165029,0.8703339882121808
LEIB,509,493,492,493,arrivals,0.9666011787819253,0.9685658153241651
LROP,509,465,462,463,arrivals,0.9076620825147348,0.9096267190569745
LROP,504,493,493,493,departures,0.9781746031746031,0.9781746031746031
LEIB,495,490,490,490,departures,0.98989898989899,0.98989898989899
EGBB,474,468,468,468,departures,0.9873417721518988,0.9873417721518988
EGBB,466,393,388,388,arrivals,0.8326180257510729,0.8326180257510729
LIML,465,441,440,445,arrivals,0.946236559139785,0.956989247311828
LIME,460,422,419,419,arrivals,0.9108695652173913,0.9108695652173913
LIML,458,451,451,452,departures,0.9847161572052402,0.9868995633187773
LIME,453,450,450,450,departures,0.9933774834437086,0.9933774834437086
LIRN,449,381,335,337,departures,0.7461024498886414,0.7505567928730512
