AIRPORT;APT_ICAO;APT_IATA;APT_NAME;APT_COUNTRY;ICAO_LABEL;IATA_LABEL;YEAR;CONFIGURATION;SHARE_PCT
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2025;ARR:08L - ARR:08R - DEP:08L - DEP:08R;0,3911247130833970
EDDM;EDDM;MUC;Munich;Germany;Munich (EDDM);Munich (MUC);2025;ARR:26L - ARR:26R - DEP:26L - DEP:26R;0,5550114766641162
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2025;ARR:28 - DEP:28;0,5559370289733712
EDDN;EDDN;NUE;Nuremberg;Germany;Nuremberg (EDDN);Nuremberg (NUE);2025;ARR:10 - DEP:10;0,4429743761513984
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2025;ARR:08R - DEP:08R;0,1563509818543375
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2025;ARR:26L - DEP:26L;0,6142182450907283
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2025;ARR:26R - DEP:26R;0,0681083768332090
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2025;ARR:08L - DEP:08L;0,0377827491921452
EDDP;EDDP;LEJ;Leipzig-Halle;Germany;Leipzig-Halle (EDDP);Leipzig-Halle (LEJ);2025;ARR:26R - DEP:26L;0,0529455630126771
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2025;ARR:26 - DEP:26;0,5971896955503512
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2025;ARR:27 - DEP:27;0,0608899297423888
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2025;ARR:08 - DEP:08;0,2740046838407494
EDDR;EDDR;SCR;Saarbruecken;Germany;Saarbruecken (EDDR);Saarbruecken (SCR);2025;ARR:09 - DEP:09;0,0585480093676815
