AIRPORT;APT_ICAO;PHASE;YEAR;MONTH_NUM;PUNCT_CAT;NB_FLT;MONTHLY_TRAFIC
LFPB;LFPB;ARR;2024;5;[>+61];NA;NA
GMMN;GMMN;ARR;2020;3;[- 5, -15];NA;NA
EPGD;EPGD;DEP;2020;11;[+ 5, +15];NA;NA
LATI;LATI;DEP;2022;7;[>+61];NA;NA
LUKK;LUKK;DEP;2020;5;[- 4, + 4];NA;NA
LTFJ;LTFJ;DEP;2025;1;[-16, -30];NA;NA
EGCC;EGCC;ARR;2022;8;[<-31];NA;NA
LFBD;LFBD;ARR;2024;8;[+ 5, +15];NA;NA
LTBA;LTBA;ARR;2022;9;[- 5, -15];NA;NA
LICJ;LICJ;DEP;2025;5;[+16, +30];NA;NA
ENVA;ENVA;DEP;2020;5;[+ 5, +15];NA;NA
LIEO;LIEO;ARR;2026;3;[+31, +60];NA;NA
ENBO;ENBO;DEP;2019;5;[+31, +60];NA;NA
ESSB;ESSB;ARR;2022;5;[- 4, + 4];NA;NA
LFRS;LFRS;DEP;2022;2;[-16, -30];NA;NA
LTAC;LTAC;DEP;2021;1;[+16, +30];NA;NA
LIBD;LIBD;DEP;2023;6;[- 4, + 4];NA;NA
LGRP;LGRP;DEP;2025;4;[+31, +60];NA;NA
EPKK;EPKK;DEP;2025;3;[- 5, -15];NA;NA
EGNX;EGNX;ARR;2020;2;[- 5, -15];NA;NA
LYBE;LYBE;ARR;2020;10;[+16, +30];NA;NA
LTBA;LTBA;ARR;2020;4;[+16, +30];NA;NA
EHEH;EHEH;DEP;2023;5;[+16, +30];NA;NA
LYPG;LYPG;ARR;2023;7;[<-31];NA;NA
LWSK;LWSK;ARR;2021;6;[+16, +30];NA;NA
LGIR;LGIR;DEP;2022;12;[<-31];NA;NA
ENBO;ENBO;DEP;2024;2;[<-31];NA;NA
EHEH;EHEH;DEP;2021;9;[<-31];NA;NA
BIKF;BIKF;ARR;2020;9;[- 5, -15];NA;NA
LIBD;LIBD;DEP;2026;1;[+16, +30];NA;NA
EPGD;EPGD;DEP;2023;2;[+16, +30];NA;NA
LBWN;LBWN;ARR;2020;9;[-16, -30];NA;NA
LGRP;LGRP;DEP;2019;11;[+31, +60];NA;NA
EDDV;EDDV;ARR;2020;11;[+ 5, +15];NA;NA
GMMX;GMMX;DEP;2019;10;[+ 5, +15];NA;NA
LGRP;LGRP;DEP;2019;4;[>+61];NA;NA
LICJ;LICJ;DEP;2019;3;[- 4, + 4];NA;NA
LIEO;LIEO;DEP;2024;11;[+ 5, +15];NA;NA
LGTS;LGTS;DEP;2025;11;[+16, +30];NA;NA
ENBR;ENBR;ARR;2021;7;[+ 5, +15];NA;NA
UKBB;UKBB;DEP;2019;4;[+31, +60];NA;NA
UKBB;UKBB;ARR;2026;2;[+16, +30];NA;NA
LFRS;LFRS;DEP;2023;5;[>+61];NA;NA
LUKK;LUKK;ARR;2023;3;[-16, -30];NA;NA
UGSB;UGSB;DEP;2019;5;[<-31];NA;NA
UGSB;UGSB;ARR;2025;5;[>+61];NA;NA
LICJ;LICJ;ARR;2024;11;[- 4, + 4];NA;NA
LGTS;LGTS;DEP;2025;11;[+ 5, +15];NA;NA
LTBJ;LTBJ;ARR;2022;11;[-16, -30];NA;NA
EGNX;EGNX;ARR;2026;3;[- 5, -15];NA;NA
UGKO;UGKO;DEP;2020;1;[+31, +60];NA;NA
EGCC;EGCC;ARR;2023;6;[+31, +60];NA;NA
LTAC;LTAC;ARR;2020;1;[+ 5, +15];NA;NA
LGRP;LGRP;ARR;2020;6;[- 5, -15];NA;NA
LGIR;LGIR;ARR;2021;10;[+16, +30];NA;NA
ENBO;ENBO;ARR;2021;5;[+31, +60];NA;NA
GMMN;GMMN;ARR;2022;2;[-16, -30];NA;NA
LGRP;LGRP;ARR;2022;1;[- 4, + 4];NA;NA
LFPB;LFPB;ARR;2021;7;[+16, +30];NA;NA
LICJ;LICJ;ARR;2025;4;[+ 5, +15];NA;NA
EGNT;EGNT;ARR;2020;4;[- 5, -15];NA;NA
LYPG;LYPG;DEP;2021;12;[+31, +60];NA;NA
LGTS;LGTS;DEP;2025;10;[- 5, -15];NA;NA
ENTC;ENTC;ARR;2023;3;[>+61];NA;NA
ENVA;ENVA;ARR;2020;5;[>+61];NA;NA
EGAA;EGAA;DEP;2019;8;[- 4, + 4];NA;NA
LTBJ;LTBJ;ARR;2025;10;[+ 5, +15];NA;NA
LCLK;LCLK;ARR;2021;12;[-16, -30];NA;NA
UKBB;UKBB;DEP;2021;4;[+16, +30];NA;NA
