n_ground_truth,adep_coverage,ades_coverage,adep_accuracy,ades_accuracy,adep_overall,ades_overall,k,adep_correct,adep_wrong,adep_score,ades_correct,ades_wrong,ades_score,adep_gt_ooa_share,adep_pred_ooa_share,adep_ooa_recall,adep_ooa_precision,adep_inarea_coverage,adep_inarea_accuracy,ades_gt_ooa_share,ades_pred_ooa_share,ades_ooa_recall,ades_ooa_precision,ades_inarea_coverage,ades_inarea_accuracy,run,adep_mode,ades_mode,trend_max_fl,trend_radius_nm,trend_vote_margin,trend_sched_penalty_nm,trend_rank_by,trend_max_fl_v,trend_max_datum,trend_max_height_ft,trend_ceiling,endpoint_radius_nm,endpoint_height_ft,endpoint_sched_penalty_nm
95116,0.6982736868665629,0.6745763068253501,0.9850038393784724,0.9822327509623927,0.6878022625005257,0.6625909415871147,2.0,65421,996,63429.0,63023,1140,60743.0,0.08297237057908238,0.0,0.0,0.0,0.7603641199669816,0.9864147643315944,0.08372934101518147,0.0,0.0,0.0,0.7357834587846521,0.9828148148148148,grid_h4000_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,field,4000.0,4000.0,40.0,15000.0,10.0
95116,0.690830144244922,0.6718007485596534,0.9846596356663471,0.9827696834066261,0.6802325581395349,0.660225408974305,2.0,64701,1008,62685.0,62798,1101,60596.0,0.08297237057908238,0.0,0.0,0.0,0.7523732000366872,0.98592,0.08372934101518147,0.0,0.0,0.0,0.7327657426106113,0.9833390748802104,grid_h4000_r30_m4,trend,trend,40,30.0,4,10.0,haversine,40,field,4000.0,4000.0,40.0,15000.0,10.0
95116,0.7291202321376004,0.6920497077253038,0.9893584807717264,0.9791416635017091,0.7213612851675848,0.6776147020480255,2.0,68613,738,67137.0,64452,1373,61706.0,0.08297237057908238,0.0,0.0,0.0,0.7940245803907181,0.9906869964480638,0.08372934101518147,0.0,0.0,0.0,0.7548421149256471,0.9797221293284285,grid_h6000_r20_m0,trend,trend,40,20.0,0,10.0,haversine,40,field,6000.0,6000.0,40.0,15000.0,10.0
95116,0.7252407586525926,0.6896316077210984,0.9896204807051114,0.9792819574662703,0.7177131082047185,0.6753437907397283,2.0,68266,716,66834.0,64236,1359,61518.0,0.08297237057908238,0.0,0.0,0.0,0.7898628817756581,0.9908701647434501,0.08372934101518147,0.0,0.0,0.0,0.7522374701670644,0.9798197043884135,grid_h6000_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,field,6000.0,6000.0,40.0,15000.0,10.0
95116,0.7214138525589806,0.6871188864123807,0.9899589029117725,0.9793132994675317,0.7141700660246436,0.6729046637789646,2.0,67929,689,66551.0,64004,1352,61300.0,0.08297237057908238,0.0,0.0,0.0,0.7857355773640282,0.991157802582622,0.08372934101518147,0.0,0.0,0.0,0.7495295575546173,0.9798080308620241,grid_h6000_r20_m4,trend,trend,40,20.0,4,10.0,haversine,40,field,6000.0,6000.0,40.0,15000.0,10.0
95116,0.7302451743134699,0.6954455612094705,0.9871577068156296,0.9782155167200822,0.7208671516884646,0.6802956390092098,2.0,68566,892,66782.0,64707,1441,61825.0,0.08297237057908238,0.0,0.0,0.0,0.7950793359625791,0.9886950252343186,0.08372934101518147,0.0,0.0,0.0,0.7585482834587847,0.9787926000998352,grid_h6000_r30_m0,trend,trend,40,30.0,0,10.0,haversine,40,field,6000.0,6000.0,40.0,15000.0,10.0
95116,0.7259872156104126,0.693353379031919,0.9879368021664519,0.9785136999802878,0.7172294882038773,0.6784557803103579,2.0,68220,833,66554.0,64532,1417,61698.0,0.08297237057908238,0.0,0.0,0.0,0.7905851600476933,0.9892978334638476,0.08372934101518147,0.0,0.0,0.0,0.7563108132917202,0.9790332857966441,grid_h6000_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,field,6000.0,6000.0,40.0,15000.0,10.0
95116,0.7221077421254047,0.6912822238109256,0.9883087764253684,0.9786318286896216,0.7136654190672442,0.6765107868287145,2.0,67881,803,66275.0,64347,1405,61537.0,0.08297237057908238,0.0,0.0,0.0,0.7864693203705402,0.9895333751220863,0.08372934101518147,0.0,0.0,0.0,0.7540618689186708,0.9791381356705925,grid_h6000_r30_m4,trend,trend,40,30.0,4,10.0,haversine,40,field,6000.0,6000.0,40.0,15000.0,10.0
95116,0.729982337356491,0.6925648681609824,0.9893278412282344,0.9786714029814494,0.722191849951638,0.6777934311787712,2.0,68692,741,67210.0,64469,1405,61659.0,0.08297237057908238,0.0,0.0,0.0,0.7949646886178117,0.9906547447360831,0.08372934101518147,0.0,0.0,0.0,0.7554043510189095,0.9792511581985266,grid_h6100_r20_m0,trend,trend,40,20.0,0,10.0,haversine,40,field,6100.0,6100.0,40.0,15000.0,10.0
95116,0.7260713234366458,0.6900942007653812,0.9895599542433501,0.9788692697938726,0.7184911055973758,0.6755120063921948,2.0,68340,721,66898.0,64252,1387,61478.0,0.08297237057908238,0.0,0.0,0.0,0.7907685957993212,0.9908081305999362,0.08372934101518147,0.0,0.0,0.0,0.752753809436387,0.9793915005182611,grid_h6100_r20_m2,trend,trend,40,20.0,2,10.0,haversine,40,field,6100.0,6100.0,40.0,15000.0,10.0
95116,0.7223390386475461,0.6876235333697801,0.9899426542077839,0.9789156626506024,0.7150742251566509,0.6731254468228268,2.0,68015,691,66633.0,64025,1379,61267.0,0.08297237057908238,0.0,0.0,0.0,0.7867444739979822,0.9911399967940778,0.08372934101518147,0.0,0.0,0.0,0.7500803194418946,0.9794098300469627,grid_h6100_r20_m4,trend,trend,40,20.0,4,10.0,haversine,40,field,6100.0,6100.0,40.0,15000.0,10.0
95116,0.7311283064889188,0.696160477732453,0.9870869402663138,0.977724417059321,0.7216872029942386,0.680653097270701,2.0,68644,898,66848.0,64741,1475,61791.0,0.08297237057908238,0.0,0.0,0.0,0.7960423736586261,0.9886222887922343,0.08372934101518147,0.0,0.0,0.0,0.7593400036717459,0.9782858351718093,grid_h6100_r30_m0,trend,trend,40,30.0,0,10.0,haversine,40,field,6100.0,6100.0,40.0,15000.0,10.0
95116,0.7267441860465116,0.6939947012069473,0.9879927667269439,0.9780033328283594,0.7180179990748139,0.6787291307456159,2.0,68295,830,66635.0,64558,1452,61654.0,0.08297237057908238,0.0,0.0,0.0,0.7914106209300192,0.9893524554541504,0.08372934101518147,0.0,0.0,0.0,0.756999265650817,0.9785369994240155,grid_h6100_r30_m2,trend,trend,40,30.0,2,10.0,haversine,40,field,6100.0,6100.0,40.0,15000.0,10.0
