airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,run
LDSP,216,3,0,0,departures,0.0,0.0,path0_legacy
ESGG,216,214,214,214,departures,0.9907407407407407,0.9907407407407407,path0_legacy
UUWW,216,1,1,1,departures,0.004629629629629629,0.004629629629629629,path0_legacy
LDZA,215,3,0,0,departures,0.0,0.0,path0_legacy
LDSP,215,5,0,0,arrivals,0.0,0.0,path0_legacy
LDZA,215,207,206,213,arrivals,0.958139534883721,0.9906976744186047,path0_legacy
ESGG,214,208,208,210,arrivals,0.9719626168224299,0.9813084112149533,path0_legacy
UUEE,214,1,1,3,arrivals,0.004672897196261682,0.014018691588785047,path0_legacy
EDDV,213,210,208,209,departures,0.9765258215962441,0.9812206572769953,path0_legacy
GCFV,212,0,0,0,departures,0.0,0.0,path0_legacy
UUEE,212,2,2,2,departures,0.009433962264150943,0.009433962264150943,path0_legacy
EGNT,211,199,199,199,departures,0.943127962085308,0.943127962085308,path0_legacy
GCFV,211,2,0,0,arrivals,0.0,0.0,path0_legacy
EGNT,211,184,184,184,arrivals,0.8720379146919431,0.8720379146919431,path0_legacy
EDDV,209,202,198,199,arrivals,0.9473684210526315,0.9521531100478469,path0_legacy
EGGP,208,204,203,203,departures,0.9759615384615384,0.9759615384615384,path0_legacy
EGGP,206,194,193,194,arrivals,0.9368932038834952,0.941747572815534,path0_legacy
LIRQ,202,1,1,1,departures,0.0049504950495049506,0.0049504950495049506,path0_legacy
EDDN,201,195,194,196,departures,0.9651741293532339,0.9751243781094527,path0_legacy
EDDN,199,192,191,196,arrivals,0.9597989949748744,0.9849246231155779,path0_legacy
LGSA,199,18,16,16,arrivals,0.08040201005025126,0.08040201005025126,path0_legacy
EGLC,198,198,198,198,departures,1.0,1.0,path0_legacy
LIRQ,198,33,31,31,arrivals,0.15656565656565657,0.15656565656565657,path0_legacy
LGSA,196,14,14,14,departures,0.07142857142857142,0.07142857142857142,path0_legacy
LIEE,195,1,0,0,arrivals,0.0,0.0,path0_legacy
EPWR,194,189,189,190,arrivals,0.9742268041237113,0.979381443298969,path0_legacy
EPWR,193,190,190,190,departures,0.9844559585492227,0.9844559585492227,path0_legacy
EGNM,193,173,173,176,arrivals,0.8963730569948186,0.9119170984455959,path0_legacy
UDYZ,192,1,0,0,departures,0.0,0.0,path0_legacy
UDYZ,192,1,0,0,arrivals,0.0,0.0,path0_legacy
LIEE,191,1,0,0,departures,0.0,0.0,path0_legacy
EHEH,191,191,189,189,departures,0.9895287958115183,0.9895287958115183,path0_legacy
EGNM,190,185,184,184,departures,0.968421052631579,0.968421052631579,path0_legacy
EHEH,190,187,186,187,arrivals,0.9789473684210527,0.9842105263157894,path0_legacy
EYVI,189,116,115,118,arrivals,0.6084656084656085,0.6243386243386243,path0_legacy
EGLC,189,189,189,189,arrivals,1.0,1.0,path0_legacy
EYVI,186,175,175,177,departures,0.9408602150537635,0.9516129032258065,path0_legacy
DAAG,186,5,4,4,departures,0.021505376344086023,0.021505376344086023,path0_legacy
DTTA,186,0,0,0,arrivals,0.0,0.0,path0_legacy
DTTA,185,2,0,0,departures,0.0,0.0,path0_legacy
DAAG,184,93,92,93,arrivals,0.5,0.5054347826086957,path0_legacy
LFOB,181,172,172,172,departures,0.9502762430939227,0.9502762430939227,path0_legacy
LFOB,181,177,137,137,arrivals,0.7569060773480663,0.7569060773480663,path0_legacy
LDDU,180,4,0,0,arrivals,0.0,0.0,path0_legacy
LGKO,178,168,168,169,departures,0.9438202247191011,0.949438202247191,path0_legacy
LDDU,177,1,0,0,departures,0.0,0.0,path0_legacy
LGKO,177,166,166,169,arrivals,0.9378531073446328,0.9548022598870056,path0_legacy
EETN,162,142,142,142,arrivals,0.8765432098765432,0.8765432098765432,path0_legacy
EPPO,161,156,156,156,departures,0.968944099378882,0.968944099378882,path0_legacy
HESH,161,0,0,0,arrivals,0.0,0.0,path0_legacy
UMKK,160,1,0,0,departures,0.0,0.0,path0_legacy
EETN,159,149,149,150,departures,0.9371069182389937,0.9433962264150944,path0_legacy
LPMA,159,153,153,153,departures,0.9622641509433962,0.9622641509433962,path0_legacy
HESH,159,0,0,0,departures,0.0,0.0,path0_legacy
UMKK,159,0,0,0,arrivals,0.0,0.0,path0_legacy
LPMA,158,14,14,18,arrivals,0.08860759493670886,0.11392405063291139,path0_legacy
LIMF,157,153,151,152,departures,0.9617834394904459,0.9681528662420382,path0_legacy
LIMF,157,155,153,156,arrivals,0.9745222929936306,0.9936305732484076,path0_legacy
