arm,edge,bin_lower_s,bin_upper_s,n
ground_anchored,off,120,150,375
ground_anchored,off,150,180,159
ground_anchored,off,180,210,96
ground_anchored,off,210,240,79
ground_anchored,off,240,270,106
ground_anchored,off,270,300,119
ground_anchored,off,300,330,169
ground_anchored,off,330,360,121
ground_anchored,off,360,390,125
ground_anchored,off,390,420,85
ground_anchored,off,420,450,75
ground_anchored,off,450,480,87
ground_anchored,off,480,510,58
ground_anchored,off,510,540,39
ground_anchored,off,540,570,25
ground_anchored,off,570,600,16
ground_anchored,off,600,630,8
ground_anchored,off,630,660,8
ground_anchored,off,660,690,9
ground_anchored,off,690,720,7
ground_anchored,off,720,750,3
ground_anchored,off,750,780,1
ground_anchored,off,780,810,4
ground_anchored,off,810,840,1
ground_anchored,off,840,870,0
ground_anchored,off,870,900,6
ground_anchored,off,900,930,2
ground_anchored,off,930,960,3
ground_anchored,off,960,990,3
ground_anchored,off,990,1020,1
ground_anchored,off,1020,1050,3
ground_anchored,off,1050,1080,1
ground_anchored,off,1080,1110,1
ground_anchored,off,1110,1140,0
ground_anchored,off,1140,1170,2
ground_anchored,off,1170,1200,0
ground_anchored,off,1200,1230,2
ground_anchored,off,1230,1260,1
ground_anchored,off,1260,1290,1
ground_anchored,off,1290,1320,2
ground_anchored,off,1320,1350,2
ground_anchored,off,1350,1380,5
ground_anchored,off,1380,1410,1
ground_anchored,off,1410,1440,2
ground_anchored,off,1440,1470,1
ground_anchored,off,1470,1500,0
ground_anchored,off,1500,1530,2
ground_anchored,off,1530,1560,0
ground_anchored,off,1560,1590,2
ground_anchored,off,1590,1620,2
ground_anchored,off,1620,1650,5
ground_anchored,off,1650,1680,2
ground_anchored,off,1680,1710,4
ground_anchored,off,1710,1740,2
ground_anchored,off,1740,1770,1
ground_anchored,off,1770,1800,475
ground_anchored,land,-1800,-1770,464
ground_anchored,land,-1770,-1740,5
ground_anchored,land,-1740,-1710,4
ground_anchored,land,-1710,-1680,2
ground_anchored,land,-1680,-1650,2
ground_anchored,land,-1650,-1620,5
ground_anchored,land,-1620,-1590,3
ground_anchored,land,-1590,-1560,1
ground_anchored,land,-1560,-1530,1
ground_anchored,land,-1530,-1500,1
ground_anchored,land,-1500,-1470,0
ground_anchored,land,-1470,-1440,2
ground_anchored,land,-1440,-1410,1
ground_anchored,land,-1410,-1380,3
ground_anchored,land,-1380,-1350,3
ground_anchored,land,-1350,-1320,3
ground_anchored,land,-1320,-1290,2
ground_anchored,land,-1290,-1260,0
ground_anchored,land,-1260,-1230,1
ground_anchored,land,-1230,-1200,1
ground_anchored,land,-1200,-1170,2
ground_anchored,land,-1170,-1140,5
ground_anchored,land,-1140,-1110,3
ground_anchored,land,-1110,-1080,2
ground_anchored,land,-1080,-1050,4
ground_anchored,land,-1050,-1020,1
ground_anchored,land,-1020,-990,3
ground_anchored,land,-990,-960,5
ground_anchored,land,-960,-930,3
ground_anchored,land,-930,-900,2
ground_anchored,land,-900,-870,4
ground_anchored,land,-870,-840,5
ground_anchored,land,-840,-810,7
ground_anchored,land,-810,-780,7
ground_anchored,land,-780,-750,3
ground_anchored,land,-750,-720,6
ground_anchored,land,-720,-690,10
ground_anchored,land,-690,-660,8
ground_anchored,land,-660,-630,7
ground_anchored,land,-630,-600,20
ground_anchored,land,-600,-570,13
ground_anchored,land,-570,-540,21
ground_anchored,land,-540,-510,20
ground_anchored,land,-510,-480,48
ground_anchored,land,-480,-450,33
ground_anchored,land,-450,-420,41
ground_anchored,land,-420,-390,53
ground_anchored,land,-390,-360,74
ground_anchored,land,-360,-330,50
ground_anchored,land,-330,-300,73
ground_anchored,land,-300,-270,67
ground_anchored,land,-270,-240,96
ground_anchored,land,-240,-210,68
ground_anchored,land,-210,-180,93
ground_anchored,land,-180,-150,58
ground_anchored,land,-150,-120,78
ground_anchored,land,-120,-90,105
ground_anchored,land,-90,-60,127
ground_anchored,land,-60,-30,119
ground_anchored,land,-30,0,252
ground_anchored,land,0,30,317
ground_anchored,land,30,60,496
ground_anchored,land,60,90,163
ground_anchored,land,90,120,313
ground_anchored,land,120,150,303
ground_anchored,land,150,180,343
ground_anchored,land,180,210,438
ground_anchored,land,210,240,844
ground_anchored,land,240,270,959
ground_anchored,land,270,300,2282
ground_anchored,land,300,330,1620
ground_anchored,land,330,360,1229
ground_anchored,land,360,390,554
ground_anchored,land,390,420,518
ground_anchored,land,420,450,488
ground_anchored,land,450,480,633
ground_anchored,land,480,510,727
ground_anchored,land,510,540,840
ground_anchored,land,540,570,793
ground_anchored,land,570,600,963
ground_anchored,land,600,630,836
ground_anchored,land,630,660,745
ground_anchored,land,660,690,526
ground_anchored,land,690,720,422
ground_anchored,land,720,750,337
ground_anchored,land,750,780,269
ground_anchored,land,780,810,192
ground_anchored,land,810,840,166
ground_anchored,land,840,870,131
ground_anchored,land,870,900,99
ground_anchored,land,900,930,90
ground_anchored,land,930,960,87
ground_anchored,land,960,990,65
ground_anchored,land,990,1020,71
ground_anchored,land,1020,1050,41
ground_anchored,land,1050,1080,35
ground_anchored,land,1080,1110,34
ground_anchored,land,1110,1140,40
ground_anchored,land,1140,1170,33
ground_anchored,land,1170,1200,18
ground_anchored,land,1200,1230,20
ground_anchored,land,1230,1260,19
ground_anchored,land,1260,1290,23
ground_anchored,land,1290,1320,21
ground_anchored,land,1320,1350,11
ground_anchored,land,1350,1380,10
ground_anchored,land,1380,1410,8
ground_anchored,land,1410,1440,5
ground_anchored,land,1440,1470,7
ground_anchored,land,1470,1500,4
ground_anchored,land,1500,1530,8
ground_anchored,land,1530,1560,9
ground_anchored,land,1560,1590,3
ground_anchored,land,1590,1620,4
ground_anchored,land,1620,1650,4
ground_anchored,land,1650,1680,6
ground_anchored,land,1680,1710,5
ground_anchored,land,1710,1740,4
ground_anchored,land,1740,1770,5
ground_anchored,land,1770,1800,623
