accuracy,angle_deg,answered,block_correct,block_flights,correct,ratio,recall_of_recoverable,side,window_min,wrong
0.6200688377018798,4,3777,3677,13550,2342,1.6320557491289198,0.6369322817514278,arrival,15,1435
0.6025763358778626,5,4192,3677,13550,2526,1.5162064825930373,0.6869730758770737,arrival,15,1666
0.5632252901160464,7,4998,3677,13550,2815,1.2895098488318828,0.7655697579548545,arrival,15,2183
0.5177257525083612,10,5980,3677,13550,3096,1.073509015256588,0.8419907533315203,arrival,15,2884
0.4593852908891328,15,7288,3677,13550,3348,0.849746192893401,0.910524884416644,arrival,15,3940
0.4077394997640396,20,8476,3677,13550,3456,0.6884462151394423,0.939896654881697,arrival,15,5020
0.3755202219613702,25,9371,3677,13550,3519,0.6013328776486672,0.957030187652978,arrival,15,5852
0.3550521251002406,30,9976,3677,13550,3542,0.550512900217594,0.9632852869186838,arrival,15,6434
0.3321876451463075,40,10765,3677,13550,3576,0.4974266240089025,0.9725319553984226,arrival,15,7189
0.32004281509232,50,11211,3677,13550,3588,0.4706808343171979,0.9757954854500952,arrival,15,7623
0.3101843873858349,60,11606,3677,13550,3600,0.4496627529352985,0.9790590155017678,arrival,15,8006
0.2948509043506599,90,12274,3677,13550,3619,0.41813980358174463,0.984226271416916,arrival,15,8655
0.7115928369462771,1,2122,3678,13554,1510,2.4673202614379086,0.41054921152800433,arrival,20,612
0.6486164831895269,2,3361,3678,13554,2180,1.8458933107535986,0.5927134312126155,arrival,20,1181
0.6175386882829772,3,4071,3678,13554,2514,1.6146435452793835,0.6835236541598695,arrival,20,1557
0.5871342512908778,4,4648,3678,13554,2729,1.4220948410630536,0.741979336595976,arrival,20,1919
0.5593023255813954,5,5160,3678,13554,2886,1.2691292875989446,0.7846655791190864,arrival,20,2274
0.5144019528071603,7,6145,3678,13554,3161,1.0593163538873995,0.8594344752582925,arrival,20,2984
0.4603434178250204,10,7338,3678,13554,3378,0.853030303030303,0.9184339314845025,arrival,20,3960
0.393128067826863,15,8964,3678,13554,3524,0.6477941176470589,0.9581294181620446,arrival,20,5440
0.3593624699278268,20,9976,3678,13554,3585,0.5609450790173681,0.9747145187601958,arrival,20,6391
0.33832755876018356,25,10679,3678,13554,3613,0.5113218228134729,0.9823273518216422,arrival,20,7066
0.3268693063948769,30,11087,3678,13554,3624,0.48559560498459065,0.9853181076672104,arrival,20,7463
0.31514573213046493,40,11528,3678,13554,3633,0.46016466117796073,0.9877650897226754,arrival,20,7895
0.3030932978546483,50,12026,3678,13554,3645,0.4349123016346498,0.9910277324632952,arrival,20,8381
0.2979105452171074,60,12252,3678,13554,3650,0.42431992559869797,0.9923871669385536,arrival,20,8602
0.28842968688382364,90,12679,3678,13554,3657,0.4053424961205941,0.9942903752039152,arrival,20,9022
0.6923076923076923,1,3315,3678,13554,2295,2.25,0.6239804241435563,arrival,30,1020
0.6157205240174672,2,4351,3678,13554,2679,1.6022727272727273,0.7283849918433931,arrival,30,1672
0.564789818742769,3,5186,3678,13554,2929,1.2977403633141338,0.7963567156063078,arrival,30,2257
0.5223981138430448,4,5938,3678,13554,3102,1.0937940761636107,0.8433931484502447,arrival,30,2836
0.4900030293850348,5,6602,3678,13554,3235,0.9607959607959607,0.8795541054921153,arrival,30,3367
0.4311707867988455,7,7969,3678,13554,3436,0.7579969115376131,0.9342033713974986,arrival,30,4533
0.3796473337582324,10,9414,3678,13554,3574,0.611986301369863,0.9717237629146275,arrival,30,5840
0.344097255199924,15,10529,3678,13554,3623,0.5246162757022879,0.9850462207721588,arrival,30,6906
0.3229951262738148,20,11285,3678,13554,3645,0.47709424083769636,0.9910277324632952,arrival,30,7640
0.3112075568036763,25,11751,3678,13554,3657,0.45181616011860637,0.9942903752039152,arrival,30,8094
0.30015590383195206,30,12187,3678,13554,3658,0.42888967053581895,0.9945622620989668,arrival,30,8529
0.29373996789727125,40,12460,3678,13554,3660,0.4159090909090909,0.9951060358890701,arrival,30,8800
0.29007996199825825,50,12631,3678,13554,3664,0.40860934537749527,0.9961935834692768,arrival,30,8967
0.28837831458021873,60,12709,3678,13554,3665,0.40524104378593545,0.9964654703643284,arrival,30,9044
0.2826422074919069,90,12974,3678,13554,3667,0.394004512732352,0.9970092441544317,arrival,30,9307
