month,adep_accuracy,adep_coverage,adep_overall,ades_accuracy,ades_coverage,ades_overall,max_endpoint_agl_ft,max_endpoint_dist_nm,n_ground_truth,days,cleaned
2025-06,0.9906437263335907,0.5719542453425291,0.5666028848984398,0.9731205563108744,0.4717082299507969,0.45902897514613733,5000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9905563313000662,0.5722275957777871,0.566823667942302,0.9728864076158278,0.47267546995247905,0.4598595399301905,8000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9904858113692717,0.5724063249085327,0.566960343159931,0.972681843420322,0.47336935951890324,0.46043778123554396,10000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9904137513084679,0.572490432734766,0.5670023970730477,0.9722646479403236,0.47496740821733463,0.46179401993355484,15000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9903244166192373,0.5726376214306741,0.56709701837756,0.9720261207200848,0.47655494343748683,0.46322385297951973,20000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9893827341290181,0.5743302914336179,0.5682324740317086,0.9708419672685753,0.49722444173430336,0.4827263551873502,1000000000.0,2.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.988746893858715,0.29616468312376465,0.2928319105092729,0.97326431181486,0.34526262668741325,0.3360317927583162,0.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9898713028950322,0.4027398124395475,0.39866058286723577,0.9753899628811122,0.4900016821565247,0.47794272257033515,500.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9908335152080315,0.5298898187476345,0.5250325917826654,0.9743563463430633,0.5128895243702426,0.4997371630430211,1000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.991066395640811,0.6154905588965053,0.6099920097565078,0.9735826715391054,0.5149817065477943,0.5013772656545692,2000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9904624374517245,0.6261196854367299,0.6201480297741705,0.9731534061997517,0.5165377013331091,0.5026704234829051,5000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9902847458764703,0.6265717650027335,0.6204844610791034,0.9726925731920251,0.517830859161445,0.503690230875983,8000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9901553013785932,0.6268766558728289,0.6207052441229657,0.972407501267106,0.5185773161192649,0.5042684721813365,10000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9900068744655522,0.6270343580470162,0.6207683249926406,0.9717922812689432,0.5203120400353253,0.5056352243576264,15000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9898096004290694,0.6272761680474368,0.6208839732537113,0.9715183499174153,0.5219521426468733,0.5070860843601497,20000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9884573623987305,0.6293893771815467,0.6221245636906514,0.9688006482982172,0.5448925522519871,0.5278922578745953,1000000000.0,3.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9887472933158212,0.29617519660204383,0.29284242398755206,0.9731102661596959,0.34563059842718363,0.3363366836284116,0.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9898457281578741,0.4027608393961058,0.39867109634551495,0.9757749905616846,0.5012616173934985,0.48911854998107573,500.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9905055779729409,0.5315194078809033,0.5264729383069094,0.975177441752816,0.5451028218175701,0.531571975272299,1000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.990683958312389,0.6274654106564616,0.621619916733252,0.9741094207691581,0.5563207031414273,0.5419172378989865,2000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.989101717305152,0.6685310568148366,0.661245216367383,0.971953832850859,0.5592960174944278,0.5436099079019303,5000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9877630321357505,0.6710017242104378,0.6627906976744186,0.9709933378246874,0.5617982253248665,0.545502333992178,8000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.987014206145566,0.6719794776903991,0.6632532907187014,0.9704690214244355,0.562860086631061,0.5462382774717187,10000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.98625,0.672862609865848,0.6636107489801926,0.9695288796232526,0.5648155935909837,0.5476050296480087,15000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9858829408457742,0.6732410950838975,0.6637369107195424,0.9688520332442861,0.5667185331595105,0.5490664031288112,20000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9834730017568681,0.6762164094368981,0.6650405820261576,0.962009413596631,0.5941587114681021,0.5715862736027587,1000000000.0,5.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
2025-06,0.9885722397700252,0.29623827747171877,0.2928529374658312,0.9723513505301856,0.3460301106017915,0.33646284536776144,0.0,10.0,95116,"2025-06-05,2025-06-06,2025-06-07",False
