month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,LICJ,310,229,229,229,departures,0.7387096774193549,0.7387096774193549,large_airport,38.175999,13.091,True,True,True
2024-06,BIKF,308,231,231,231,departures,0.75,0.75,large_airport,63.985001,-22.6056,True,True,True
2024-06,LMML,308,209,206,209,arrivals,0.6688311688311688,0.6785714285714286,large_airport,35.845932,14.491546,True,True,True
2024-06,BIKF,306,77,76,78,arrivals,0.24836601307189543,0.2549019607843137,large_airport,63.985001,-22.6056,True,True,True
2024-06,LCLK,302,176,115,115,departures,0.38079470198675497,0.38079470198675497,large_airport,34.875099,33.624901,True,True,True
2024-06,EBCI,298,241,241,241,departures,0.8087248322147651,0.8087248322147651,large_airport,50.461963,4.459562,True,True,True
2024-06,EBCI,298,233,232,233,arrivals,0.7785234899328859,0.7818791946308725,large_airport,50.461963,4.459562,True,True,True
2024-06,LCLK,298,162,117,121,arrivals,0.3926174496644295,0.40604026845637586,large_airport,34.875099,33.624901,True,True,True
2024-06,ENZV,297,46,46,46,arrivals,0.15488215488215487,0.15488215488215487,large_airport,58.876701,5.63778,True,True,True
2024-06,GCTS,295,0,0,0,departures,0.0,0.0,large_airport,28.0445,-16.5725,True,True,True
2024-06,ENZV,295,42,42,42,departures,0.1423728813559322,0.1423728813559322,large_airport,58.876701,5.63778,True,True,True
2024-06,GCTS,294,1,0,0,arrivals,0.0,0.0,large_airport,28.0445,-16.5725,True,True,True
2024-06,LGRP,291,206,205,206,arrivals,0.7044673539518901,0.7079037800687286,large_airport,36.405399,28.086201,True,True,True
2024-06,EGNX,288,173,172,173,departures,0.5972222222222222,0.6006944444444444,large_airport,52.8311,-1.32806,True,True,True
2024-06,EGNX,287,144,141,145,arrivals,0.4912891986062718,0.5052264808362369,large_airport,52.8311,-1.32806,True,True,True
2024-06,LGRP,284,215,215,216,departures,0.7570422535211268,0.7605633802816901,large_airport,36.405399,28.086201,True,True,True
2024-06,EVRA,282,196,196,196,departures,0.6950354609929078,0.6950354609929078,large_airport,56.920752,23.970711,True,True,True
2024-06,EVRA,278,185,183,187,arrivals,0.658273381294964,0.6726618705035972,large_airport,56.920752,23.970711,True,True,True
2024-06,LBSF,277,184,182,182,departures,0.6570397111913358,0.6570397111913358,large_airport,42.696357,23.417671,True,True,True
2024-06,LBSF,275,176,173,174,arrivals,0.6290909090909091,0.6327272727272727,large_airport,42.696357,23.417671,True,True,True
2024-06,LFBD,274,232,232,236,arrivals,0.8467153284671532,0.8613138686131386,large_airport,44.82865,-0.715356,True,True,True
2024-06,EGLC,273,214,214,217,departures,0.7838827838827839,0.7948717948717948,medium_airport,51.505299,0.055278,True,True,True
2024-06,LEZL,273,224,224,224,arrivals,0.8205128205128205,0.8205128205128205,large_airport,37.417999,-5.89311,True,True,True
2024-06,LEZL,271,221,221,221,departures,0.8154981549815498,0.8154981549815498,large_airport,37.417999,-5.89311,True,True,True
2024-06,LFBD,271,232,232,232,departures,0.8560885608856088,0.8560885608856088,large_airport,44.82865,-0.715356,True,True,True
2024-06,GMMX,268,4,0,0,arrivals,0.0,0.0,large_airport,31.604807,-8.035788,True,True,True
2024-06,ENVA,266,14,14,14,departures,0.05263157894736842,0.05263157894736842,large_airport,63.457802,10.924,True,True,True
2024-06,ENVA,266,16,16,16,arrivals,0.06015037593984962,0.06015037593984962,large_airport,63.457802,10.924,True,True,True
2024-06,EGLC,266,207,203,220,arrivals,0.7631578947368421,0.8270676691729323,medium_airport,51.505299,0.055278,True,True,True
2024-06,EGAA,265,207,207,209,departures,0.7811320754716982,0.7886792452830189,large_airport,54.6575012207,-6.21582984924,True,True,True
2024-06,LGTS,265,212,211,212,arrivals,0.7962264150943397,0.8,large_airport,40.51928,22.970009,True,True,True
2024-06,LFRS,264,199,199,199,departures,0.7537878787878788,0.7537878787878788,medium_airport,47.153198,-1.61073,True,True,True
2024-06,LFRS,264,210,209,210,arrivals,0.7916666666666666,0.7954545454545454,medium_airport,47.153198,-1.61073,True,True,True
2024-06,EGAA,263,200,200,204,arrivals,0.7604562737642585,0.7756653992395437,large_airport,54.6575012207,-6.21582984924,True,True,True
2024-06,GMMX,261,1,0,0,departures,0.0,0.0,large_airport,31.604807,-8.035788,True,True,True
2024-06,LGTS,258,206,205,205,departures,0.7945736434108527,0.7945736434108527,large_airport,40.51928,22.970009,True,True,True
2024-06,GCRR,258,3,0,0,arrivals,0.0,0.0,large_airport,28.945499,-13.6052,True,True,True
2024-06,GCRR,257,0,0,0,departures,0.0,0.0,large_airport,28.945499,-13.6052,True,True,True
2024-06,LFPB,245,163,131,169,arrivals,0.5346938775510204,0.689795918367347,large_airport,48.962276,2.436539,True,True,True
2024-06,LIBD,244,2,0,0,arrivals,0.0,0.0,large_airport,41.138901,16.760599,True,True,True
2024-06,LTBS,243,4,2,2,arrivals,0.00823045267489712,0.00823045267489712,large_airport,36.7131,28.7925,True,True,True
2024-06,LIBD,242,1,0,0,departures,0.0,0.0,large_airport,41.138901,16.760599,True,True,True
2024-06,LFPB,239,156,144,150,departures,0.602510460251046,0.6276150627615062,large_airport,48.962276,2.436539,True,True,True
2024-06,EPGD,238,10,10,10,departures,0.04201680672268908,0.04201680672268908,large_airport,54.377602,18.4662,True,True,True
2024-06,EPGD,238,2,2,4,arrivals,0.008403361344537815,0.01680672268907563,large_airport,54.377602,18.4662,True,True,True
2024-06,LEBB,234,1,1,1,departures,0.004273504273504274,0.004273504273504274,large_airport,43.301102,-2.91061,True,True,True
2024-06,LTBS,233,1,0,0,departures,0.0,0.0,large_airport,36.7131,28.7925,True,True,True
2024-06,ESGG,232,184,184,185,departures,0.7931034482758621,0.7974137931034483,large_airport,57.6628,12.2798,True,True,True
2024-06,ESGG,232,179,178,181,arrivals,0.7672413793103449,0.7801724137931034,large_airport,57.6628,12.2798,True,True,True
2024-06,LEBB,231,29,29,29,arrivals,0.12554112554112554,0.12554112554112554,large_airport,43.301102,-2.91061,True,True,True
2024-06,EPKT,227,134,133,133,departures,0.5859030837004405,0.5859030837004405,large_airport,50.476015,19.080705,True,True,True
2024-06,EDDV,227,183,180,183,departures,0.7929515418502202,0.8061674008810573,large_airport,52.461102,9.68508,True,True,True
2024-06,EPKT,226,133,130,132,arrivals,0.5752212389380531,0.584070796460177,large_airport,50.476015,19.080705,True,True,True
2024-06,EDDV,226,168,165,173,arrivals,0.7300884955752213,0.7654867256637168,large_airport,52.461102,9.68508,True,True,True
2024-06,HECA,221,3,0,0,arrivals,0.0,0.0,large_airport,30.111534,31.396694,True,True,True
2024-06,LTFE,217,80,76,82,arrivals,0.35023041474654376,0.3778801843317972,large_airport,37.249314,27.66401,True,True,True
2024-06,HECA,216,1,1,1,departures,0.004629629629629629,0.004629629629629629,large_airport,30.111534,31.396694,True,True,True
2024-06,LGKR,216,3,2,2,arrivals,0.009259259259259259,0.009259259259259259,large_airport,39.60145,19.912179,True,True,True
2024-06,LGKR,214,1,1,1,departures,0.004672897196261682,0.004672897196261682,large_airport,39.60145,19.912179,True,True,True
2024-06,LIRP,214,49,41,41,arrivals,0.19158878504672897,0.19158878504672897,large_airport,43.683899,10.3927,True,True,True
2024-06,LIRP,211,153,151,156,departures,0.7156398104265402,0.7393364928909952,large_airport,43.683899,10.3927,True,True,True
2024-06,LEMH,211,132,132,132,departures,0.6255924170616114,0.6255924170616114,large_airport,39.862598,4.21865,True,True,True
2024-06,LEMH,211,131,131,131,arrivals,0.6208530805687204,0.6208530805687204,large_airport,39.862598,4.21865,True,True,True
2024-06,LIEO,211,14,2,2,arrivals,0.009478672985781991,0.009478672985781991,large_airport,40.898953,9.518457,True,True,True
2024-06,LDZA,210,101,101,102,departures,0.48095238095238096,0.4857142857142857,large_airport,45.742901,16.0688,True,True,True
2024-06,UGTB,208,85,82,83,arrivals,0.3942307692307692,0.39903846153846156,large_airport,41.669201,44.9547,True,True,True
2024-06,UUEE,207,6,4,4,departures,0.01932367149758454,0.01932367149758454,large_airport,55.976858,37.41121,True,True,True
2024-06,LTFE,206,65,62,63,departures,0.30097087378640774,0.3058252427184466,large_airport,37.249314,27.66401,True,True,True
2024-06,KEWR,205,1,0,0,arrivals,0.0,0.0,large_airport,40.6894,-74.170545,False,True,False
2024-06,LDZA,204,22,20,22,arrivals,0.09803921568627451,0.10784313725490197,large_airport,45.742901,16.0688,True,True,True
2024-06,LIEO,203,1,0,0,departures,0.0,0.0,large_airport,40.898953,9.518457,True,True,True
2024-06,UUEE,202,1,1,1,arrivals,0.0049504950495049506,0.0049504950495049506,large_airport,55.976858,37.41121,True,True,True
2024-06,UGTB,198,133,132,133,departures,0.6666666666666666,0.6717171717171717,large_airport,41.669201,44.9547,True,True,True
2024-06,KEWR,197,0,0,0,departures,0.0,0.0,large_airport,40.6894,-74.170545,False,True,False
2024-06,EYVI,197,130,130,131,departures,0.6598984771573604,0.6649746192893401,large_airport,54.634102,25.285801,True,True,True
