month,airport,n_truth,n_predicted_here,n_correct,n_assigned,role,recall,count_ratio,sched_penalty_nm,variant,apt_type,latitude_deg,longitude_deg,in_bbox,in_set,in_scope
2024-06,LLBG,475,281,184,187,arrivals,0.3873684210526316,0.3936842105263158,15,default,large_airport,32.011398,34.8867,True,True,True
2024-06,LFML,472,397,390,399,arrivals,0.826271186440678,0.8453389830508474,15,default,large_airport,43.438088,5.2125,True,True,True
2024-06,LFML,467,397,396,402,departures,0.8479657387580299,0.860813704496788,15,default,large_airport,43.438088,5.2125,True,True,True
2024-06,LIRN,452,100,93,95,departures,0.2057522123893805,0.2101769911504424,15,default,large_airport,40.886002,14.2908,True,True,True
2024-06,LIRN,451,112,91,95,arrivals,0.2017738359201774,0.2106430155210643,15,default,large_airport,40.886002,14.2908,True,True,True
2024-06,LEIB,451,391,376,394,arrivals,0.8337028824833703,0.8736141906873615,15,default,large_airport,38.872898,1.37312,True,True,True
2024-06,EGBB,446,389,388,389,departures,0.8699551569506726,0.8721973094170403,15,default,large_airport,52.453899,-1.74803,True,True,True
2024-06,EGBB,441,352,343,348,arrivals,0.7777777777777778,0.7891156462585034,15,default,large_airport,52.453899,-1.74803,True,True,True
2024-06,LEIB,436,387,383,392,departures,0.8784403669724771,0.8990825688073395,15,default,large_airport,38.872898,1.37312,True,True,True
2024-06,LIPZ,429,358,346,356,arrivals,0.8065268065268065,0.8298368298368298,15,default,large_airport,45.505299,12.3519,True,True,True
2024-06,LFLL,424,350,341,350,arrivals,0.8042452830188679,0.8254716981132075,15,default,large_airport,45.725996,5.090139,True,True,True
2024-06,LFLL,422,358,358,365,departures,0.8483412322274881,0.8649289099526066,15,default,large_airport,45.725996,5.090139,True,True,True
2024-06,LIPZ,422,367,365,369,departures,0.8649289099526066,0.8744075829383886,15,default,large_airport,45.505299,12.3519,True,True,True
2024-06,ENBR,417,352,352,357,departures,0.8441247002398081,0.8561151079136691,15,default,large_airport,60.2934,5.21814,True,True,True
2024-06,ENBR,415,346,346,354,arrivals,0.8337349397590361,0.8530120481927711,15,default,large_airport,60.2934,5.21814,True,True,True
2024-06,EDDS,414,335,327,341,arrivals,0.7898550724637681,0.8236714975845411,15,default,large_airport,48.689899,9.22196,True,True,True
2024-06,EDDS,408,358,352,352,departures,0.8627450980392157,0.8627450980392157,15,default,large_airport,48.689899,9.22196,True,True,True
2024-06,LIPE,390,363,361,363,departures,0.9256410256410256,0.9307692307692308,15,default,large_airport,44.5354,11.2887,True,True,True
2024-06,LIPE,389,355,344,347,arrivals,0.884318766066838,0.8920308483290489,15,default,large_airport,44.5354,11.2887,True,True,True
2024-06,LICC,387,168,160,162,departures,0.4134366925064599,0.4186046511627907,15,default,large_airport,37.466801,15.0664,True,True,True
2024-06,LICC,384,183,175,177,arrivals,0.4557291666666667,0.4609375,15,default,large_airport,37.466801,15.0664,True,True,True
2024-06,LTAC,379,2,0,0,departures,0.0,0.0,15,default,large_airport,40.128101,32.995098,True,True,True
2024-06,EGGD,376,338,336,337,arrivals,0.8936170212765957,0.8962765957446809,15,default,large_airport,51.382326,-2.716453,True,True,True
2024-06,EGGD,375,347,346,346,departures,0.9226666666666666,0.9226666666666666,15,default,large_airport,51.382326,-2.716453,True,True,True
2024-06,LGIR,373,3,0,0,departures,0.0,0.0,15,default,large_airport,35.339699,25.1803,True,True,True
2024-06,LYBE,373,323,321,321,departures,0.8605898123324397,0.8605898123324397,15,default,large_airport,44.818401,20.309099,True,True,True
2024-06,LGIR,373,10,0,0,arrivals,0.0,0.0,15,default,large_airport,35.339699,25.1803,True,True,True
2024-06,EDDP,373,224,215,220,arrivals,0.5764075067024129,0.5898123324396782,15,default,large_airport,51.420657,12.232705,True,True,True
2024-06,LTAC,368,10,0,0,arrivals,0.0,0.0,15,default,large_airport,40.128101,32.995098,True,True,True
2024-06,LEVC,365,68,50,50,arrivals,0.136986301369863,0.136986301369863,15,default,large_airport,39.489162,-0.480961,True,True,True
2024-06,LYBE,364,292,285,289,arrivals,0.782967032967033,0.7939560439560439,15,default,large_airport,44.818401,20.309099,True,True,True
2024-06,LEVC,359,38,38,38,departures,0.1058495821727019,0.1058495821727019,15,default,large_airport,39.489162,-0.480961,True,True,True
2024-06,EDDP,358,282,279,280,departures,0.7793296089385475,0.7821229050279329,15,default,large_airport,51.420657,12.232705,True,True,True
